row_index,ID,CAS,Formula,MolWt,SMILES,parse_mode
5579,T4799,120-72-9,C8H7N,117.15,c1ccc2[nH]ccc2c1,sanitized
5580,T4746,120-73-0,C5H4N4,120.11,c1ncc2[nH]cnc2n1,sanitized
5581,T4801,123-32-0,C6H8N2,108.14,Cc1cnc(C)cn1,sanitized
5582,T3946,124-07-2,C8H16O2,144.21,CCCCCCCC(=O)O,sanitized
5583,T4804,127-17-3,C3H4O3,88.06,CC(=O)C(=O)O,sanitized
5584,T4805,142-08-5,C5H5NO,95.1,O=c1cccc[nH]1,sanitized
5585,T4763,1460-57-7,C6H12O2,116.16,O[C@@H]1CCCC[C@H]1O,sanitized
5586,T4784,1445-91-6,C8H10O,122.16,C[C@H](O)c1ccccc1,sanitized
5587,T4710,1477-68-5,C9H14ClNO2,203.67,COc1cc(CCN)ccc1O.Cl,sanitized
5588,T4882,147-81-9,C5H10O5,150.13,OC[C@H]1OC(O)[C@@H](O)[C@@H]1O,sanitized
5589,T4764,1501-27-5,C6H10O4,146.14,COC(=O)CCCC(=O)O,sanitized
5590,T4806,153-94-6,C11H12N2O2,204.23,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,sanitized
5591,T4770,1571-72-8,C7H7NO3,153.14,Nc1cc(C(=O)O)ccc1O,sanitized
5592,T4885,1783-96-6,C4H7NO4,133.1,N[C@H](CC(=O)O)C(=O)O,sanitized
5593,T4708,1811-31-0,C8H15NO6,221.21,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O,sanitized
5594,T4714,1912-33-0,C11H11NO2,189.21,COC(=O)Cc1c[nH]c2ccccc12,sanitized
5595,T4703,2041-14-7,C2H8NO3P,125.06,NCCP(=O)(O)O,sanitized
5596,T4781,2018-61-3,C11H13NO3,207.23,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,sanitized
5597,T4904,21770-81-0,C2H8ClN3,109.56,CNC(=N)N.Cl,sanitized
5598,T4717,2140-46-7,C27H46O2,402.65,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,sanitized
5599,T4752,22059-21-8,C4H7NO2,101.1,NC1(C(=O)O)CC1,sanitized
5600,T4711,23945-44-0,C5H4N2O4,156.1,O=C(O)c1cnc(O)nc1O,sanitized
5601,T4808,2482-00-0,C5H16N4O4S,228.27,N=C(N)NCCCCN.O=S(=O)(O)O,sanitized
5602,T4807,24634-61-5,C6H7KO2,150.22,C/C=C/C=C/C(=O)[O-].[K+],sanitized
5603,T4751,24347-58-8,C4H10O2,90.12,C[C@@H](O)[C@@H](C)O,sanitized
5604,T4712,2584-71-6,C5H9NO3,131.13,O=C(O)[C@H]1C[C@@H](O)CN1,sanitized
5605,T4706,27821-45-0,C9H12N2Na2O12P2,448.12,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+],sanitized
5606,T4743,28053-08-9,C15H22N2Na2O17P2,610.27,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+],sanitized
5607,T4842,288-13-1,C3H4N2,68.08,c1cn[nH]c1,sanitized
5608,T4809,289-95-2,C4H4N2,80.09,c1cncnc1,sanitized
5609,T4810,303-38-8,C7H6O4,154.12,O=C(O)c1cccc(O)c1O,sanitized
5610,T4762,3105-95-1,C6H11NO2,129.16,O=C(O)[C@@H]1CCCCN1,sanitized
5611,T4732,305-84-0,C9H14N4O3,226.23,NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,sanitized
5612,T4715,312693-72-4,C10H15N5O5,285.26,Nc1nc(=O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1.O,sanitized
5613,T4785,32462-30-9,C8H9NO3,167.16,N[C@H](C(=O)O)c1ccc(O)cc1,sanitized
5614,T4753,3251-69-2,C5H7ClN2O2,162.57,Cl.O=C(O)Cc1cnc[nH]1,sanitized
5615,T4765,327-57-1,C6H13NO2,131.17,CCCC[C@H](N)C(=O)O,sanitized
5616,T4772,328-39-2,C6H13NO2,131.17,CC(C)CC(N)C(=O)O,sanitized
5617,T4811,338-69-2,C3H7NO2,89.09,C[C@@H](N)C(=O)O,sanitized
5618,T4730,33430-62-5,C10H15N2Na2O9P,384.19,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.O.[Na+].[Na+],sanitized
5619,T4812,3458-28-4,C6H12O6,180.16,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,sanitized
5620,T4813,372-75-8,C6H13N3O3,175.19,NC(=O)NCCC[C@H](N)C(=O)O,sanitized
5621,T4900,39924-52-2,C13H20O3,224.3,CCC=CCC1C(=O)CCC1CC(=O)OC,sanitized
5622,T4814,4042-36-8,C5H7NO3,129.11,O=C1CC[C@H](C(=O)O)N1,sanitized
5623,T5055,4289-98-9,C6H11NO3S,177.22,CSCC[C@H](NC=O)C(=O)O,sanitized
5624,T4735,42155-08-8,C9H11N2Na2O8P,352.15,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1.[Na+].[Na+],sanitized
5625,T4779,452-86-8,C7H8O2,124.14,Cc1ccc(O)c(O)c1,sanitized
5626,T4745,486-74-8,C10H7NO2,173.17,O=C(O)c1ccnc2ccccc12,sanitized
5627,T4815,495-69-2,C9H9NO3,179.17,O=C(O)CNC(=O)c1ccccc1,sanitized
5628,T4884,492-62-6,C6H12O6,180.16,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,sanitized
5629,T4734,505-48-6,C8H14O4,174.19,O=C(O)CCCCCCC(=O)O,sanitized
5630,T4903,506-12-7,C17H34O2,270.45,CCCCCCCCCCCCCCCCC(=O)O,sanitized
5631,T4816,5006-66-6,C6H5NO3,139.11,O=C(O)c1ccc(O)nc1,sanitized
5632,T4879,505-95-3,C12H24O3,216.32,O=C(O)CCCCCCCCCCCO,sanitized
5633,T4786,50-69-1,C5H10O5,150.13,O=C[C@H](O)[C@H](O)[C@H](O)CO,sanitized
5634,T4775,506-30-9,C20H40O2,312.53,CCCCCCCCCCCCCCCCCCCC(=O)O,sanitized
5635,T4817,516-05-2,C4H6O4,118.09,CC(C(=O)O)C(=O)O,sanitized
5636,T4754,524-36-7,C8H14Cl2N2O2,241.12,Cc1ncc(CO)c(CN)c1O.Cl.Cl,sanitized
5637,T4876,526-55-6,C10H11NO,161.2,OCCc1c[nH]c2ccccc12,sanitized
5638,T4819,535-75-1,C6H11NO2,129.16,O=C(O)C1CCCCN1,sanitized
5639,T4818,533-67-5,C5H10O4,134.13,O=CC[C@H](O)[C@H](O)CO,sanitized
5640,T4705,542-32-5,C6H11NO4,161.16,NC(CCCC(=O)O)C(=O)O,sanitized
5641,T4726,54010-71-8,C6H12NaO9P,282.12,O=P([O-])(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],sanitized
5642,T4821,542-28-9,C5H8O2,100.12,O=C1CCCCO1,sanitized
5643,T4744,54-16-0,C10H9NO3,191.18,O=C(O)Cc1c[nH]c2ccc(O)cc12,sanitized
5644,T4820,541-59-3,C4H3NO2,97.07,O=C1C=CC(=O)N1,sanitized
5645,T4822,543-24-8,C4H7NO3,117.1,CC(=O)NCC(=O)O,sanitized
5646,T4707,548-93-6,C7H7NO3,153.14,Nc1c(O)cccc1C(=O)O,sanitized
5647,T4901,5550/12/9,C10H14N5Na2O9P,425.2,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.O.[Na+].[Na+],sanitized
5648,T4905,557-24-4,C4H5NO3,115.09,NC(=O)/C=C\C(=O)O,sanitized
5649,T4747,556-82-1,C5H10O,86.13,CC(C)=CCO,sanitized
5650,T4709,5505-63-5,C6H14ClNO5,215.63,Cl.N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,sanitized
5651,T4843,563-96-2,C2H4O4,92.05,O.O=CC(=O)O,sanitized
5652,T4823,57-48-7,C6H12O6,180.16,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,sanitized
5653,T4733,57-50-1,C12H22O11,342.3,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,sanitized
5654,T4883,57-00-1,C4H9N3O2,131.13,CN(CC(=O)O)C(=N)N,sanitized
5655,T4824,582-60-5,C9H10N2,146.19,Cc1cc2nc[nH]c2cc1C,sanitized
5656,T4825,58-86-6,C5H10O5,150.13,OC1OC[C@@H](O)[C@H](O)[C@H]1O,sanitized
5657,T4718,58-97-9,C9H13N2O9P,324.18,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,sanitized
5658,T4826,5934-29-2,C6H12ClN3O3,209.63,Cl.N[C@@H](Cc1cnc[nH]1)C(=O)O.O,sanitized
5659,T4880,5988-19-2,C5H6N2O4,158.11,O=C1C[C@@H](C(=O)O)NC(=O)N1,sanitized
5660,T4828,599-04-2,C6H10O3,130.14,CC1(C)COC(=O)[C@@H]1O,sanitized
5661,T4827,593-81-7,C3H10ClN,95.57,CN(C)C.Cl,sanitized
5662,T4787,594-61-6,C4H8O3,104.1,CC(C)(O)C(=O)O,sanitized
5663,T4727,6042-32-6,C26H44NNaO5S,505.69,C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.[Na+],sanitized
5664,T4760,620-24-6,C7H8O2,124.14,OCc1cccc(O)c1,sanitized
5665,T4831,62-57-7,C4H9NO2,103.12,CC(C)(N)C(=O)O,sanitized
5666,T4766,626-51-7,C6H10O4,146.14,CC(CC(=O)O)CC(=O)O,sanitized
5667,T4702,6249-56-5,C7H16ClNO2,181.66,C[N+](C)(C)CCCC(=O)O.[Cl-],sanitized
5668,T4829,621-37-4,C8H8O3,152.15,O=C(O)Cc1cccc(O)c1,sanitized
5669,T4719,6322/7/2,C6H10O6,178.14,O=C1O[C@@H]([C@H](O)CO)[C@@H](O)[C@H]1O,sanitized
5670,T4844,63-68-3,C5H11NO2S,149.21,CSCC[C@H](N)C(=O)O,sanitized
5671,T4716,634-97-9,C5H5NO2,111.1,O=C(O)c1ccc[nH]1,sanitized
5672,T4737,653-63-4,C10H14N5O6P,331.22,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,sanitized
5673,T4761,65-22-5,C8H10ClNO3,203.62,Cc1ncc(CO)c(C=O)c1O.Cl,sanitized
5674,T4788,6600-40-4,C5H11NO2,117.15,CCC[C@H](N)C(=O)O,sanitized
5675,T4722,66638-22-0,C5H10ClNO4,183.59,CC(=O)OC[C@H](N)C(=O)O.Cl,sanitized
5676,T4757,672-15-1,C4H9NO3,119.12,N[C@@H](CCO)C(=O)O,sanitized
5677,T5089,660-88-8,C5H11NO2,117.15,NCCCCC(=O)O,sanitized
5678,T4832,71-30-7,C4H5N3O,111.1,Nc1ccnc(=O)[nH]1,sanitized
5679,T4713,72556-74-2,C5H21CaClNO8P,329.73,C[N+](C)(C)CCOP(=O)([O-])[O-].O.O.O.O.[Ca+2].[Cl-],sanitized
5680,T4768,759-65-9,C9H14O5,202.2,CCOC(=O)C(=O)C(C)C(=O)OCC,sanitized
5681,T4767,1975/12/7,CH3NO,45.0406,NC=O,sanitized
5682,T4725,7772-94-3,C8H15NO6,221.21,CC(=O)N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,sanitized
5683,T4845,79-33-4,C3H6O3,90.08,C[C@H](O)C(=O)O,sanitized
5684,T4833,87-32-1,C13H14N2O3,246.26,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,sanitized
5685,T4723,87-81-0,C6H12O6,180.16,OCC1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,sanitized
5686,T4834,879-37-8,C10H10N2O,174.2,NC(=O)Cc1c[nH]c2ccccc12,sanitized
5687,T4835,88-21-1,C6H7NO3S,173.19,Nc1ccccc1S(=O)(=O)O,sanitized
5688,T4848,90-64-2,C8H8O3,152.15,O=C(O)C(O)c1ccccc1,sanitized
5689,T4780,1993/10/7,C10H7NO2,173.17,O=C(O)c1ccc2ccccc2n1,sanitized
5690,T4758,951-77-9,C9H13N3O4,227.22,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,sanitized
5691,T5090,96-17-3,C5H10O,86.13,CCC(C)C=O,sanitized
5692,T4837,97-65-4,C5H6O4,130.1,C=C(CC(=O)O)C(=O)O,sanitized
5693,T4838,97-67-6,C4H6O5,134.09,O=C(O)C[C@H](O)C(=O)O,sanitized
5694,T4839,97-69-8,C5H9NO3,131.13,CC(=O)N[C@@H](C)C(=O)O,sanitized
5695,T4850,98-98-6,C6H5NO2,123.11,O=C(O)c1ccccn1,sanitized
5696,T4840,1999/6/9,C7H6O3,138.12,O=C(O)c1cccc(O)c1,sanitized
5697,T4918,56-82-6,C3H6O3,90.08,O=CC(O)CO,sanitized
5698,T4857,487-21-8,C6H4N4O2,164.12,O=c1[nH]c(=O)c2nccnc2[nH]1,sanitized
5699,T4847,120-80-9,C6H6O2,110.11,Oc1ccccc1O,sanitized
5700,T4894,7643-75-6,C5H12O5,152.15,OC[C@H](O)C(O)[C@@H](O)CO,sanitized
5701,T4729,4408-78-0,C2H5O5P,140.03,O=C(O)CP(=O)(O)O,sanitized
5702,T4741,2491-15-8,C3H5NO3,103.08,O=CNCC(=O)O,sanitized
5703,T4921,3184-35-8,C6H8O5,160.12,O=C(O)CCCC(=O)C(=O)O,sanitized
5704,T4892,495-78-3,C9H10O3,166.17,O=C(O)CCc1ccccc1O,sanitized
5705,T4862,328-42-7,C4H4O5,132.07,O=C(O)CC(=O)C(=O)O,sanitized
5706,T4861,4023-65-8,C6H6O6,174.11,O=C(O)/C=C(\CC(=O)O)C(=O)O,sanitized
5707,T4858,156-39-8,C9H8O4,180.16,O=C(O)C(=O)Cc1ccc(O)cc1,sanitized
5708,T4886,504-07-4,C4H6N2O2,114.1,O=C1CCNC(=O)N1,sanitized
5709,T4896,1114-34-7,C5H10O5,150.13,O=C[C@@H](O)[C@@H](O)[C@H](O)CO,sanitized
5710,T4685,131-99-7,C10H13N4O8P,348.21,O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,sanitized
5711,T4875,343336-76-5,C12H24O12,360.31,O.OC[C@H]1O[C@H](OC[C@H]2OC(O)(CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,sanitized
5712,T4739,71519-72-7,C4H16N3Na2O9P,327.14,CN(CC(=O)[O-])C(=N)NP(=O)([O-])O.O.O.O.O.[Na+].[Na+],sanitized
5713,T4925,273724-21-3,C12H22ClN4O6PS,416.82,Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1.O.O.[Cl-],sanitized
5714,T4924,56401-20-8,C6H13Na2O10P,322.11,O.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[Na+].[Na+],sanitized
5715,T4929,23295-92-3,C3H7O7P,186.06,O=C(O)[C@H](CO)OP(=O)(O)O,sanitized
5716,T4914,31635-99-1,C3HNa2O6,180.02,O=C([O-])C(O)(O)C(=O)[O-].[Na+].[Na+],sanitized
5717,T4888,19333-65-4,C4H10N3Na2O6P,273.09,CN(CC(=O)O)C(=N)NP(=O)([O-])[O-].O.[Na+].[Na+],sanitized
5718,T4969,36051-31-7,C10H13N5Na3O14P3,589.13,Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1.[Na+].[Na+].[Na+],sanitized
5719,T4893,124-20-9,C7H19N3,145.25,NCCCCNCCCN,sanitized
5720,T4865,110-60-1,C4H12N2,88.1515,NCCCCN,sanitized
5721,T4873,7568-93-6,C8H11NO,137.18,NCC(O)c1ccccc1,sanitized
5722,T4927,463-00-3,C5H11N3O2,145.16,N=C(N)NCCCC(=O)O,sanitized
5723,T4863,454-29-5,C4H9NO2S,135.18,NC(CCS)C(=O)O,sanitized
5724,T4919,462-88-4,C4H8N2O3,132.12,NC(=O)NCCC(=O)O,sanitized
5725,T4871,3646-68-2,C6H13NO6,195.17,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO,sanitized
5726,T4889,583-93-7,C7H14N2O4,190.2,NC(CCCC(N)C(=O)O)C(=O)O,sanitized
5727,T4928,2922-83-0,C10H12N2O3,208.21,Nc1ccccc1C(=O)C[C@H](N)C(=O)O,sanitized
5728,T4864,1824-94-8,C7H14O6,194.18,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,sanitized
5729,T4973,611-59-6,C7H8N4O2,180.16,Cn1c(=O)[nH]c2ncn(C)c2c1=O,sanitized
5730,T4934,332-80-9,C7H11N3O2,169.18,Cn1cnc(C[C@H](N)C(=O)O)c1,sanitized
5731,T4937,13204-98-3,C6H15ClN2O3,198.65,Cl.NCC(O)CCC(N)C(=O)O,sanitized
5732,T4755,54897-59-5,C3H9ClN2O2,140.57,Cl.NCC(N)C(=O)O,sanitized
5733,T4866,5022-65-1,C11H14ClN3O,239.7,Cl.NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,sanitized
5734,T4945,1011-74-1,C9H14ClNO3,219.665,COc1cc(C(O)CN)ccc1O.Cl,sanitized
5735,T4895,1476-39-7,C5H16Cl2N2,175.1,Cl.Cl.NCCCCCN,sanitized
5736,T4899,1596-64-1,C6H13Cl2N3O,214.09,Cl.Cl.N[C@H](CO)Cc1cnc[nH]1,sanitized
5737,T4940,36475-47-5,C6H13Cl2N3,198.094,Cl.Cl.Cn1cncc1CCN,sanitized
5738,T4855,2433-96-7,C23H46O2,354.61,CCCCCCCCCCCCCCCCCCCCCCC(=O)O,sanitized
5739,T4859,589-68-4,C17H34O4,302.45,CCCCCCCCCCCCCC(=O)OCC(O)CO,sanitized
5740,T4870,593-39-5,C18H34O2,282.46,CCCCCCCCCCC/C=C\CCCCC(=O)O,sanitized
5741,T4740,112-79-8,C18H34O2,282.46,CCCCCCCC/C=C/CCCCCCCC(=O)O,sanitized
5742,T4944,506-37-6,C24H46O2,366.62,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O,sanitized
5743,T4867,112-86-7,C22H42O2,338.57,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,sanitized
5744,T4943,111-03-5,C21H40O4,356.54,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)CO,sanitized
5745,T4872,373-49-9,C16H30O2,254.41,CCCCCC/C=C\CCCCCCCC(=O)O,sanitized
5746,T4868,506-26-3,C18H30O2,278.43,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,sanitized
5747,T4874,154-87-0,C12H19ClN4O7P2S,460.76,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1.[Cl-],sanitized
5748,T4947,300-85-6,C4H8O3,104.1,CC(O)CC(=O)O,sanitized
5749,T4887,144-90-1,C4H9NO2,103.12,CC(CN)C(=O)O,sanitized
5750,T4728,3025-96-5,C6H11NO3,145.16,CC(=O)NCCCC(=O)O,sanitized
5751,T4856,1946-82-3,C8H16N2O3,188.22,CC(=O)N[C@@H](CCCCN)C(=O)O,sanitized
5752,T4933,4033-40-3,C6H10N2O4,174.15,CC(=O)N[C@@H](CC(N)=O)C(=O)O,sanitized
5753,T4971,4754-39-6,C10H13N5O3,251.24,C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,sanitized
5754,T4920,22202-68-2,C5H5NaO5,168.08,O=C(O)CCC(=O)C(=O)[O-].[Na+],sanitized
5755,T4738,5094-24-6,C4H7NaO3,126.09,CCC(O)C(=O)[O-].[Na+],sanitized
5756,T4897,35908-31-7,C10H12N4Na3O14P3,574.11,O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.[Na+].[Na+].[Na+],sanitized
5757,T4972,151151-32-5,C9H12N3Na3O10P2,453.12,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1.[Na+].[Na+].[Na+],sanitized
5758,T4854,3483/11/2,C4H5LiO3,108.02,CC(=O)CC(=O)[O-].[Li+],sanitized
5759,T4898,4265-07-0,C3H4KO6P,206.13,C=C(OP(=O)([O-])O)C(=O)O.[K+],sanitized
5760,T4916,576-42-1,C6H9KO8,248.23,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].[K+],sanitized
5761,T4938,2642-37-7,C8H6KNO4S,251.3,O=S(=O)([O-])Oc1c[nH]c2ccccc12.[K+],sanitized
5762,T4917,490-83-5,C6H6O6,174.11,O=C1O[C@H]([C@@H](O)CO)C(=O)C1=O,sanitized
5763,T4869,2595-97-3,C6H12O6,180.16,OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,sanitized
5764,T4970,79-63-0,C30H50O,426.72,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,sanitized
5765,T4923,434-16-2,C27H44O,384.64,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,sanitized
5766,T4853,1005-24-9,C7H9ClN2O,172.62,C[n+]1cccc(C(N)=O)c1.[Cl-],sanitized
5767,T5033,106730-54-5,C14H10N4O,250.26,Cc1[nH]c(=O)c(C#N)cc1-c1ccc2nccn2c1,sanitized
5768,T4961,1167424-31-8,C37H32O16,732.64,COC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)[C@H]1c2c(/C=C/C(=O)O[C@H](Cc3ccc(O)c(O)c3)C(=O)O)ccc(O)c2O[C@@H]1c1ccc(O)c(O)c1,sanitized
5769,T4S1521,1182-34-9,C25H24O12,516.45,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@H]1O,sanitized
5770,T5S0896,119425-89-7,C17H18O4,286.32,COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,sanitized
5771,T5045,1216744-19-2,C18H21ClN2O4S,396.89,CC(C)(C)OC(=O)CN(Cc1ccc(Cl)cc1)Cc1ccc([N+](=O)[O-])s1,sanitized
5772,T4999,1210344-57-2,C22H25ClO7,436.88,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,sanitized
5773,T5032,123663-49-0,C17H14N2O6S,374.37,CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,sanitized
5774,T4S1578,13133-07-8,C24H42O21,666.58,OC[C@H]1O[C@@](CO)(OC[C@@]2(OC[C@@]3(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,sanitized
5775,T4978,135159-51-2,C24H32ClNO6,465.97,COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1.Cl,sanitized
5776,T4698,1408282-26-7,C11H9FN2O,204.2,O=C1NCCc2c[nH]c3cc(F)cc1c23,sanitized
5777,T4953,143120-46-1,C22H33NO4,375.5,CC[C@@H]1[C@H]2CCCCN3[C@H]2[C@@H](C[C@H]3[C@@H]2C[C@H](C)C(=O)O2)[C@H]2[C@@H]1OC(=O)[C@H]2C,sanitized
5778,T5028,144481-98-1,C25H40ClN3O8,546.05,CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1.Cl,sanitized
5779,T5044,1448169-71-8,C22H22N6O3,418.45,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,sanitized
5780,T5003,14897-39-3,C37H46NNaO12,719.75,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c([O-])c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C.[Na+],sanitized
5781,T4976,1532533-67-7,C31H24F3N5O3,571.55,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,sanitized
5782,T4991,153773-82-1,C22H24N3O7S.Na,497.5,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)[O-])c4)C3)[C@H](C)[C@H]12.[Na+],sanitized
5783,T5149,159857-80-4,C28H40N6O7,572.65,CC(C)[C@H](NC(=O)CCCCCN1C(=O)C=CC1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(CO)cc1,sanitized
5784,T5019,16679-58-6,C46H64N14O12S2,1069.22,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,sanitized
5785,T4986,170105-16-5,C20H21N3O,319.4,Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,sanitized
5786,T4951,16836-31-0,C20H34O2,306.48,CC1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](O)(CO)C3,sanitized
5787,T5006,1847-24-1,C19H16ClFN3NaO5S,475.85,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[Na+],sanitized
5788,T5007,19428-14-9,C21H30NO5P,407.44,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1.O=P(O)(O)O,sanitized
5789,T4902,21637-25-2,C21H20O12,464.38,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,sanitized
5790,T4946,23180-65-6,C16H16O5,288.3,CC(=O)OC(C)(C)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1,sanitized
5791,T5038,24356-60-3,C17H16N3O6S2.Na,445.45,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1.[Na+],sanitized
5792,T5098,2450-53-5,C25H24O12,516.45,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)C=Cc2ccc(O)c(O)c2)[C@H]1O,sanitized
