row_index,ID,CAS,Formula,MolWt,SMILES,parse_mode
47,T0054,97-77-8,C10H20N2S4,296.54,CCN(CC)C(=S)SSC(=S)N(CC)CC,sanitized
48,T0055,3820-67-5,C19H17ClN2O4,372.8,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,sanitized
49,T0056,52432-72-1,C26H41NO10,527.6,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,sanitized
50,T0058,938-73-8,C9H11NO2,165.19,CCOc1ccccc1C(N)=O,sanitized
51,T0059,132-18-3,C19H23NO·HCl,317.85,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,sanitized
52,T0060,3810-74-0,C21H39N7O12·3/2H2SO4,728.68,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O,sanitized
53,T0061,882-09-7,C10H11ClO3,214.65,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,sanitized
54,T0062,59-30-3,C19H19N7O6,441.4,Nc1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,sanitized
55,T0064,73-24-5,C5H5N5,135.13,Nc1ncnc2nc[nH]c12,sanitized
56,T0066,97-23-4,C13H10Cl2O2,269.12,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,sanitized
57,T0067,2398-81-4,C6H5NO3,139.11,O=C(O)c1ccc[n+]([O-])c1,sanitized
58,T0068,146-56-5,C22H28Cl2F3N3OS,510.44,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,sanitized
59,T0069,66-22-8,C4H4N2O2,112.09,O=c1cc[nH]c(=O)[nH]1,sanitized
60,T0070,6493/5/6,C13H18N4O3,278.31,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,sanitized
61,T0071,118-56-9,C16H22O3,262.34,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,sanitized
62,T0072,50-42-0,C20H25NO2·HCl,347.88,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.[H]Cl,sanitized
63,T0073,5466-77-3,C18H26O3,290.4,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,sanitized
64,T0074,113-59-7,C18H18ClNS,315.86,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,sanitized
