gene_symbol	entrez_id
SHBG	6462
NR1I2	8856
NR1I3	9970
GABBR1	2550
GABRA1	2554
GABRA2	2555
GABRA3	2556
GABRA4	2557
CHRNA4	1137
CHRNA7	1139
CHRM1	1128
CHRM2	1129
CHRM3	1131
CHRM4	1132
CHRM5	1133
ADRA1A	148
ADRA2A	150
ADRA2B	151
ADRA2C	152
ABCB1	5243
HTR1A	3350
HTR1B	3351
HTR2C	3358
